serial_no,action,price,positions
2460,buy,17166.595282666236,0
2461,stay,17058.957276171674,0
2462,buy,17042.424638860673,1
2463,stay,17168.384481705078,1
2464,stay,17048.652281761948,1
2465,sell,17162.505719558463,0
2468,stay,18311.971215890724,0
2469,short,18314.659447438746,-1
2470,buy,18216.874666879445,0
2471,short,17948.066154201377,-1
2472,stay,17859.271576362025,-1
2473,buy,17818.303465882866,0
2474,short,18001.828217743405,-1
2475,stay,17972.450936331254,-1
2476,buy,17933.205706010136,0
2477,stay,17992.586021555468,0
2478,short,17724.53352924249,-1
2479,stay,17628.31130015571,-1
2480,stay,17907.093817567842,-1
2481,buy,17806.047229585554,0
2482,short,17935.742948708714,-1
2483,stay,17882.606279621366,-1
2484,stay,17922.401409389637,-1
2485,buy,17857.751923997774,0
2486,short,17705.295534579367,-1
2487,stay,17627.879957073375,-1
2488,buy,17213.270752663226,0
2489,short,17268.68368133665,-1
2490,buy,17616.904682937187,0
2492,short,18163.465127640204,-1
2493,stay,18419.830300403093,-1
2494,buy,18183.385370835444,0
2496,short,17897.447888342147,-1
2497,stay,17597.64546489879,-1
2498,buy,17962.00597633459,0
2499,short,18059.031072697693,-1
2500,stay,18475.615399156148,-1
2501,stay,18637.729644726223,-1
2502,stay,18818.68486820979,-1
2503,stay,18519.99015365144,-1
2504,buy,18304.244127282225,0
2505,stay,18453.638615787408,0
2506,short,18120.10273827884,-1
2507,stay,18182.448699508623,-1
2508,stay,18122.95790896948,-1
2509,buy,17912.341038427177,0
2510,stay,17760.38837726432,0
2511,buy,17400.723121331568,1
2512,sell,17687.047715675126,0
2513,short,17739.910101899175,-1
2514,buy,17694.610165423772,0
2515,stay,17668.57265161493,0
2516,buy,17616.551960587396,1
2517,sell,17561.298341530277,0
2519,short,18001.784410386917,-1
2520,stay,18023.329700768747,-1
2521,buy,18035.26712902687,0
2523,short,17185.930107904485,-1
2524,stay,17227.94036564932,-1
2525,buy,16867.96731339199,0
2527,short,16389.460377888427,-1
2528,buy,16147.39046356502,0
2529,short,15857.919607686974,-1
2530,buy,15763.705181712574,0
2532,stay,15672.671122123607,0
2533,short,15493.362908577175,-1
2534,stay,15242.198379511789,-1
2535,buy,14906.785546514628,0
2536,stay,14801.069207931912,0
2537,short,14546.026081716747,-1
2538,buy,14690.065819337704,0
2539,short,14886.455170878327,-1
2540,stay,14923.019498617536,-1
2541,stay,15226.242510774277,-1
2542,buy,15008.202862453694,0
2544,buy,15148.173702059106,1
2545,sell,15014.937164389748,0
2546,short,15190.77368562986,-1
